customer_id,churn_probability,risk_level,monetary,frequency,recency_days,has_purchase,customer_value,priority
C04363,0.7250254615816185,High Risk,717.6599999999999,5.0,176.0,True,High Value,High Priority
C07600,0.7192616059889025,High Risk,451.22,3.0,249.0,True,High Value,High Priority
C09239,0.7130737439413269,High Risk,637.77,2.0,234.0,True,High Value,High Priority
C05748,0.705910802724308,High Risk,452.95,1.0,725.0,True,High Value,High Priority
C09541,0.7016152750382558,High Risk,1733.0200000000002,2.0,426.0,True,High Value,High Priority
C06170,0.7743565249070151,High Risk,98.63,1.0,329.0,True,Lower Value,Medium Priority
C03594,0.7725686093816577,High Risk,197.89,4.0,160.0,True,Lower Value,Medium Priority
C06406,0.7696682885160855,High Risk,153.18,2.0,244.0,True,Lower Value,Medium Priority
C03208,0.7667360724510162,High Risk,71.68,1.0,669.0,True,Lower Value,Medium Priority
C06157,0.7606514496685957,High Risk,78.71000000000001,2.0,407.0,True,Lower Value,Medium Priority
C08827,0.7577271231733964,High Risk,27.72,1.0,233.0,True,Lower Value,Medium Priority
C06484,0.7463963131624204,High Risk,13.15,1.0,47.0,True,Lower Value,Medium Priority
C05365,0.744053166588318,High Risk,23.65,1.0,268.0,True,Lower Value,Medium Priority
C06578,0.7438742223504056,High Risk,13.79,1.0,394.0,True,Lower Value,Medium Priority
C01013,0.743152215199853,High Risk,283.47,2.0,104.0,True,Lower Value,Medium Priority
C03988,0.7404635370102765,High Risk,17.14,1.0,651.0,True,Lower Value,Medium Priority
C08803,0.7397233940207415,High Risk,168.72,3.0,346.0,True,Lower Value,Medium Priority
C03161,0.739382202952567,High Risk,327.77,2.0,87.0,True,Lower Value,Medium Priority
C00723,0.73887060749641,High Risk,57.31,1.0,127.0,True,Lower Value,Medium Priority
C09035,0.7385514654506725,High Risk,54.38,1.0,596.0,True,Lower Value,Medium Priority
C08933,0.7338665055444844,High Risk,122.0,3.0,70.0,True,Lower Value,Medium Priority
C07601,0.7332978215496794,High Risk,192.56,1.0,273.0,True,Lower Value,Medium Priority
C07968,0.7321754031248542,High Risk,198.87,1.0,337.0,True,Lower Value,Medium Priority
C00152,0.731370457387424,High Risk,266.13,2.0,368.0,True,Lower Value,Medium Priority
C09764,0.7265538439966127,High Risk,199.68,5.0,59.0,True,Lower Value,Medium Priority
C04784,0.7258896815154966,High Risk,66.05,1.0,49.0,True,Lower Value,Medium Priority
C00136,0.7258322744489041,High Risk,8.96,1.0,177.0,True,Lower Value,Medium Priority
C01605,0.725393561701912,High Risk,48.5,1.0,217.0,True,Lower Value,Medium Priority
C05160,0.7252179305760734,High Risk,60.36,1.0,527.0,True,Lower Value,Medium Priority
C07208,0.7249573638565581,High Risk,63.98,1.0,24.0,True,Lower Value,Medium Priority
C07265,0.7241215280161298,High Risk,9.44,1.0,462.0,True,Lower Value,Medium Priority
C07044,0.7216991842374897,High Risk,41.59,1.0,214.0,True,Lower Value,Medium Priority
C06247,0.7204957305881476,High Risk,38.98,2.0,411.0,True,Lower Value,Medium Priority
C06675,0.718231432896169,High Risk,29.54,1.0,481.0,True,Lower Value,Medium Priority
C08293,0.717597599580774,High Risk,69.64,2.0,104.0,True,Lower Value,Medium Priority
C05853,0.7174440415652393,High Risk,137.76,1.0,706.0,True,Lower Value,Medium Priority
C05154,0.717336138864642,High Risk,17.46,1.0,337.0,True,Lower Value,Medium Priority
C07486,0.7168349563071827,High Risk,7.34,1.0,365.0,True,Lower Value,Medium Priority
C00160,0.7162890013894883,High Risk,169.22,2.0,87.0,True,Lower Value,Medium Priority
C06378,0.7156863470814543,High Risk,60.14,1.0,480.0,True,Lower Value,Medium Priority
C07042,0.7152280438977073,High Risk,33.55,1.0,147.0,True,Lower Value,Medium Priority
C03967,0.7142578895582197,High Risk,33.69,1.0,514.0,True,Lower Value,Medium Priority
C07938,0.7140258770864758,High Risk,44.81,2.0,222.0,True,Lower Value,Medium Priority
C07033,0.7138076695979634,High Risk,124.81,3.0,307.0,True,Lower Value,Medium Priority
C08973,0.7131846865794911,High Risk,106.3,2.0,62.0,True,Lower Value,Medium Priority
C05496,0.7130271697369358,High Risk,103.6,2.0,141.0,True,Lower Value,Medium Priority
C02179,0.7129479524267118,High Risk,123.26,3.0,216.0,True,Lower Value,Medium Priority
C02411,0.7102182391942733,High Risk,27.37,1.0,410.0,True,Lower Value,Medium Priority
C01406,0.709776761672942,High Risk,34.67,2.0,52.0,True,Lower Value,Medium Priority
C00850,0.7093421413137112,High Risk,332.71,5.0,91.0,True,Lower Value,Medium Priority
C01511,0.7089328971621021,High Risk,68.97,1.0,298.0,True,Lower Value,Medium Priority
C09670,0.7084724232751125,High Risk,404.93,2.0,136.0,True,Lower Value,Medium Priority
C09927,0.7084136506061753,High Risk,36.53,1.0,429.0,True,Lower Value,Medium Priority
C08091,0.7067165153463713,High Risk,20.86,2.0,650.0,True,Lower Value,Medium Priority
C08312,0.7065862009078464,High Risk,104.86,2.0,436.0,True,Lower Value,Medium Priority
C00812,0.7053613423768536,High Risk,30.78,1.0,137.0,True,Lower Value,Medium Priority
C09475,0.7039254385178607,High Risk,401.24,2.0,2.0,True,Lower Value,Medium Priority
C08272,0.7036907029989338,High Risk,190.94000000000003,2.0,14.0,True,Lower Value,Medium Priority
C01062,0.7032178757756095,High Risk,116.34,3.0,381.0,True,Lower Value,Medium Priority
C09562,0.7031349748807955,High Risk,136.07,2.0,109.0,True,Lower Value,Medium Priority
C01946,0.7024484814421503,High Risk,19.02,1.0,493.0,True,Lower Value,Medium Priority
C09703,0.7021713805772176,High Risk,317.74,3.0,196.0,True,Lower Value,Medium Priority
C03672,0.7016658954052023,High Risk,258.88,4.0,129.0,True,Lower Value,Medium Priority
C05827,0.7005590965666985,High Risk,17.8,1.0,23.0,True,Lower Value,Medium Priority
C09884,0.6982379770014434,Medium Risk,76.5,1.0,29.0,True,Lower Value,Medium Priority
C03185,0.698206582768959,Medium Risk,19.02,1.0,695.0,True,Lower Value,Medium Priority
C06388,0.697707942256952,Medium Risk,88.84,3.0,333.0,True,Lower Value,Medium Priority
C04564,0.6971581620561571,Medium Risk,59.25,2.0,133.0,True,Lower Value,Medium Priority
C07680,0.6964082496863684,Medium Risk,107.33,3.0,251.0,True,Lower Value,Medium Priority
C02504,0.6961107423926312,Medium Risk,625.54,2.0,144.0,True,High Value,Medium Priority
C05808,0.6956056763922768,Medium Risk,98.4,2.0,119.0,True,Lower Value,Medium Priority
C01093,0.6954829762256617,Medium Risk,142.89,2.0,70.0,True,Lower Value,Medium Priority
C09004,0.6953410669153127,Medium Risk,50.91,2.0,138.0,True,Lower Value,Medium Priority
C02593,0.6945859257129974,Medium Risk,74.18,2.0,45.0,True,Lower Value,Medium Priority
C07157,0.6945003387652223,Medium Risk,589.8100000000001,4.0,82.0,True,High Value,Medium Priority
C02340,0.6941869233136134,Medium Risk,74.23,3.0,19.0,True,Lower Value,Medium Priority
C00653,0.6941338930030142,Medium Risk,9.81,1.0,561.0,True,Lower Value,Medium Priority
C08896,0.6938455309338014,Medium Risk,90.34,1.0,257.0,True,Lower Value,Medium Priority
C03488,0.6927921482627858,Medium Risk,556.19,5.0,14.0,True,High Value,Medium Priority
C08265,0.6927210413936296,Medium Risk,167.55,3.0,89.0,True,Lower Value,Medium Priority
C07539,0.6927204317748755,Medium Risk,303.37,3.0,446.0,True,Lower Value,Medium Priority
C04305,0.6926686329512267,Medium Risk,105.35,3.0,194.0,True,Lower Value,Medium Priority
C01439,0.6922686996201223,Medium Risk,152.21,2.0,362.0,True,Lower Value,Medium Priority
C00068,0.6921998119750397,Medium Risk,21.68,1.0,340.0,True,Lower Value,Medium Priority
C01712,0.6913448938127352,Medium Risk,761.85,1.0,56.0,True,High Value,Medium Priority
C08608,0.6902682333525079,Medium Risk,120.22,2.0,253.0,True,Lower Value,Medium Priority
C02114,0.6896197037771694,Medium Risk,75.32,1.0,77.0,True,Lower Value,Medium Priority
C03993,0.6894947590222931,Medium Risk,297.0,3.0,102.0,True,Lower Value,Medium Priority
C09985,0.6894021379715004,Medium Risk,199.98,2.0,611.0,True,Lower Value,Medium Priority
C01130,0.6887165883728604,Medium Risk,232.63,2.0,284.0,True,Lower Value,Medium Priority
C03837,0.6883826963552941,Medium Risk,117.45,1.0,578.0,True,Lower Value,Medium Priority
C09880,0.6882320225108475,Medium Risk,458.72,5.0,142.0,True,High Value,Medium Priority
C03433,0.6881816389696224,Medium Risk,109.72,3.0,58.0,True,Lower Value,Medium Priority
C02077,0.6881624783866679,Medium Risk,456.78,4.0,123.0,True,High Value,Medium Priority
C09980,0.687592521203465,Medium Risk,20.13,1.0,75.0,True,Lower Value,Medium Priority
C05779,0.6874414611234999,Medium Risk,81.0,1.0,600.0,True,Lower Value,Medium Priority
C03876,0.6868481803723311,Medium Risk,143.64,3.0,324.0,True,Lower Value,Medium Priority
C07245,0.6867411775376423,Medium Risk,67.47,2.0,98.0,True,Lower Value,Medium Priority
C02488,0.6866019981941281,Medium Risk,32.86,2.0,161.0,True,Lower Value,Medium Priority
C01060,0.686467660924411,Medium Risk,67.75,1.0,277.0,True,Lower Value,Medium Priority
C09671,0.6860200922082939,Medium Risk,31.46,2.0,539.0,True,Lower Value,Medium Priority
C06507,0.6860041710064375,Medium Risk,323.76,1.0,419.0,True,Lower Value,Medium Priority
