transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,discount_applied,status,payment_method,shipping_cost,calculated_amount,amount_difference
T117783,C05855,P0065,2023-01-01 00:45:53,1,67.75,67.75,0,completed,apple_pay,0.0,67.75,0.0
T092643,C00760,P0881,2023-01-01 01:06:45,1,11.97,11.97,50,completed,paypal,5.31,11.97,0.0
T088042,C02979,P0269,2023-01-01 01:13:19,1,27.11,27.11,20,completed,credit_card,7.47,27.11,0.0
T110118,C03752,P0683,2023-01-01 01:17:34,1,67.14,67.14,0,completed,debit_card,0.0,67.14,0.0
T104403,C00519,P0638,2023-01-01 01:26:34,1,24.2,24.2,0,completed,paypal,5.15,24.2,0.0
T071264,C02938,P0708,2023-01-01 01:45:03,1,29.54,29.54,0,completed,paypal,5.79,29.54,0.0
T025082,C06237,P0993,2023-01-01 02:00:46,2,33.25,66.5,0,completed,paypal,0.0,66.5,0.0
T031915,C01970,P0959,2023-01-01 02:29:02,1,28.66,28.66,15,completed,paypal,9.38,28.66,0.0
T012164,C00829,P0980,2023-01-01 02:35:56,1,4.88,4.88,0,completed,paypal,4.74,4.88,0.0
T054388,C09525,P0659,2023-01-01 02:56:20,1,11.6,11.6,10,completed,debit_card,5.91,11.6,0.0
T050925,C00884,P0422,2023-01-01 02:59:14,1,27.14,27.14,40,completed,credit_card,8.6,27.14,0.0
T023526,C00851,P0488,2023-01-01 03:06:18,1,29.98,29.98,20,completed,paypal,7.3,29.98,0.0
T077167,C01977,P0355,2023-01-01 03:19:30,1,10.33,10.33,0,completed,google_pay,6.85,10.33,0.0
T019724,C03714,P0646,2023-01-01 03:31:46,1,67.14,67.14,0,completed,paypal,0.0,67.14,0.0
T075163,C03370,P0112,2023-01-01 03:50:43,1,302.87,302.87,0,completed,google_pay,0.0,302.87,0.0
T012732,C06912,P0006,2023-01-01 04:06:54,1,43.06,43.06,0,completed,paypal,7.15,43.06,0.0
T002581,C04137,P0496,2023-01-01 04:16:52,1,8.21,8.21,50,completed,paypal,8.88,8.21,0.0
T010354,C07497,P0585,2023-01-01 04:27:22,2,275.42,550.84,0,completed,google_pay,0.0,550.84,0.0
T107599,C06026,P0791,2023-01-01 04:48:39,1,50.01,50.01,0,completed,paypal,0.0,50.01,0.0
T102872,C08022,P0125,2023-01-01 04:56:47,1,33.36,33.36,0,completed,google_pay,6.25,33.36,0.0
T022126,C07316,P0241,2023-01-01 05:24:27,1,16.92,16.92,0,completed,credit_card,6.38,16.92,0.0
T095602,C07408,P0134,2023-01-01 05:44:35,1,19.02,19.02,20,completed,credit_card,4.39,19.02,0.0
T112322,C02970,P0258,2023-01-01 06:00:28,1,115.51,115.51,30,completed,debit_card,0.0,115.51,0.0
T039317,C06586,P0409,2023-01-01 06:05:34,1,56.88,56.88,0,completed,credit_card,0.0,56.88,0.0
T011618,C04849,P0655,2023-01-01 06:07:39,1,31.87,31.87,0,completed,credit_card,7.33,31.87,0.0
T020878,C01853,P0707,2023-01-01 06:27:07,1,145.48,145.48,0,completed,paypal,0.0,145.48,0.0
T106433,C06341,P0585,2023-01-01 06:37:31,1,275.42,275.42,0,completed,debit_card,0.0,275.42,0.0
T015596,C01064,P0146,2023-01-01 06:47:46,1,20.43,20.43,0,completed,paypal,4.06,20.43,0.0
T042060,C08129,P0282,2023-01-01 07:04:07,1,53.92,53.92,0,completed,credit_card,0.0,53.92,0.0
T117776,C01678,P0390,2023-01-01 07:19:58,1,9.37,9.37,0,completed,paypal,9.32,9.37,0.0
T083497,C08677,P0227,2023-01-01 07:27:17,1,60.95,60.95,0,completed,debit_card,0.0,60.95,0.0
T101054,C04036,P0263,2023-01-01 07:29:54,1,21.12,21.12,0,completed,debit_card,5.81,21.12,0.0
T067772,C05666,P0147,2023-01-01 07:45:55,2,59.61,119.21,10,completed,debit_card,0.0,119.22,-0.010000000000005116
T054093,C04226,P0873,2023-01-01 07:47:33,4,32.59,130.36,0,completed,credit_card,0.0,130.36,0.0
T011425,C01001,P0871,2023-01-01 07:56:16,1,41.74,41.74,0,completed,credit_card,8.78,41.74,0.0
T041107,C04824,P0953,2023-01-01 08:38:58,1,46.82,46.82,15,completed,apple_pay,7.15,46.82,0.0
T038962,C09122,P0195,2023-01-01 09:00:42,3,32.87,98.61,0,completed,paypal,0.0,98.60999999999999,1.4210854715202004e-14
T099185,C08272,P0437,2023-01-01 09:45:11,1,5.61,5.61,0,completed,credit_card,9.65,5.61,0.0
T013296,C04785,P0458,2023-01-01 10:18:35,1,12.92,12.92,0,completed,apple_pay,8.87,12.92,0.0
T016120,C02524,P0484,2023-01-01 10:18:46,1,56.36,56.36,0,completed,credit_card,0.0,56.36,0.0
T009444,C01913,P0095,2023-01-01 10:27:26,1,42.76,42.76,0,completed,debit_card,8.11,42.76,0.0
T068444,C01041,P0714,2023-01-01 10:57:54,1,13.9,13.9,0,completed,apple_pay,4.03,13.9,0.0
T109957,C05273,P0969,2023-01-01 11:17:24,1,43.57,43.57,0,completed,debit_card,6.58,43.57,0.0
T093602,C04694,P0127,2023-01-01 11:32:50,1,7.7,7.7,10,completed,credit_card,5.33,7.7,0.0
T043828,C07067,P0402,2023-01-01 11:36:11,1,10.23,10.23,5,completed,apple_pay,6.72,10.23,0.0
T105002,C07655,P0861,2023-01-01 11:41:17,1,62.41,62.41,10,completed,debit_card,0.0,62.41,0.0
T019347,C07455,P0388,2023-01-01 11:51:36,2,34.25,68.5,0,completed,paypal,0.0,68.5,0.0
