customer_id,age,gender,country,email_opt_in,has_app,is_churned,recency_days,frequency,monetary,total_orders,total_quantity,average_order_value,tenure_days,total_sessions,avg_session_duration,avg_pages_viewed,total_cart_additions,conversion_rate,bounce_rate,has_purchase
C00000,28,M,BR,0,0,0,5.0,18.0,706.65,18.0,23.0,39.25833333333333,1783,8.0,696.875,10.75,5.0,0.125,0.125,1
C00001,22,Prefer not to say,FR,1,0,0,8.0,5.0,244.64,5.0,9.0,48.928,1187,12.0,325.5,6.833333333333333,4.0,0.0,0.08333333333333333,1
C00002,30,F,US,1,1,0,171.0,16.0,1104.66,16.0,17.0,69.04125,919,29.0,439.8965517241379,7.482758620689655,31.0,0.10344827586206896,0.06896551724137931,1
C00003,48,F,US,1,0,1,8.0,15.0,695.06,15.0,23.0,46.337333333333326,1106,17.0,284.5882352941176,5.176470588235294,20.0,0.11764705882352941,0.17647058823529413,1
C00004,37,M,CA,0,1,0,258.0,2.0,148.32000000000002,2.0,2.0,74.16000000000001,1202,1.0,216.0,5.0,0.0,0.0,0.0,1
C00005,46,M,US,1,0,1,,0.0,0.0,0.0,0.0,0.0,308,1.0,42.0,1.0,1.0,0.0,0.0,0
C00006,41,F,UK,1,0,0,7.0,10.0,355.74,10.0,10.0,35.574,1780,3.0,54.333333333333336,1.6666666666666667,0.0,0.0,0.3333333333333333,1
C00007,27,M,JP,1,1,0,49.0,4.0,630.35,4.0,4.0,157.5875,931,15.0,306.06666666666666,5.533333333333333,10.0,0.0,0.13333333333333333,1
C00008,18,F,UK,1,1,0,71.0,7.0,625.72,7.0,14.0,89.38857142857144,1073,7.0,113.0,3.0,7.0,0.0,0.2857142857142857,1
C00009,23,Prefer not to say,US,0,1,0,17.0,11.0,402.02,11.0,15.0,36.54727272727273,971,7.0,251.0,3.857142857142857,5.0,0.0,0.14285714285714285,1
C00010,26,M,US,1,1,0,3.0,8.0,912.62,8.0,14.0,114.0775,1260,7.0,202.42857142857142,4.142857142857143,8.0,0.14285714285714285,0.14285714285714285,1
C00011,26,F,BR,0,0,0,30.0,12.0,652.5,12.0,17.0,54.375,1361,21.0,694.5714285714286,11.476190476190476,22.0,0.047619047619047616,0.047619047619047616,1
C00012,46,F,US,0,0,0,454.0,2.0,127.82,2.0,2.0,63.91,955,8.0,195.875,3.75,9.0,0.25,0.125,1
C00013,46,M,US,1,1,0,8.0,10.0,611.91,10.0,13.0,61.190999999999995,1539,11.0,492.09090909090907,7.7272727272727275,16.0,0.18181818181818182,0.0,1
C00014,61,F,CA,1,0,0,134.0,6.0,431.25,6.0,8.0,71.875,211,6.0,320.8333333333333,4.666666666666667,2.0,0.0,0.16666666666666666,1
C00015,25,F,UK,1,0,0,56.0,6.0,549.11,6.0,8.0,91.51833333333333,1229,2.0,618.0,8.0,2.0,0.0,0.0,1
C00016,54,M,US,1,1,0,9.0,7.0,252.93,7.0,9.0,36.13285714285714,761,10.0,197.2,3.5,8.0,0.0,0.1,1
C00017,54,M,CA,1,1,0,127.0,5.0,196.45,5.0,5.0,39.29,1054,1.0,10.0,1.0,1.0,0.0,1.0,1
C00018,32,F,CA,1,0,0,49.0,14.0,1342.73,14.0,17.0,95.90928571428572,1247,15.0,605.0666666666667,9.533333333333333,11.0,0.13333333333333333,0.0,1
C00019,40,F,US,1,1,1,273.0,7.0,183.88,7.0,7.0,26.268571428571427,535,8.0,241.875,3.75,5.0,0.0,0.125,1
C00020,49,Non-binary,UK,0,0,0,101.0,12.0,465.42,12.0,13.0,38.785000000000004,1727,13.0,284.61538461538464,4.769230769230769,6.0,0.07692307692307693,0.07692307692307693,1
C00021,34,F,FR,0,1,0,8.0,8.0,516.44,8.0,9.0,64.555,811,10.0,489.7,9.4,3.0,0.1,0.1,1
C00022,33,M,US,1,0,1,66.0,3.0,96.19000000000001,3.0,4.0,32.06333333333334,567,3.0,134.0,2.3333333333333335,2.0,0.0,0.0,1
C00023,27,Prefer not to say,MX,1,1,0,41.0,21.0,1938.59,21.0,33.0,92.31380952380952,1770,19.0,502.8421052631579,9.31578947368421,26.0,0.3157894736842105,0.10526315789473684,1
C00024,18,F,US,1,0,0,31.0,7.0,1819.6100000000001,7.0,10.0,259.94428571428574,1708,14.0,362.7142857142857,5.357142857142857,13.0,0.14285714285714285,0.0,1
C00025,35,M,UK,1,0,0,700.0,1.0,37.11,1.0,1.0,37.11,1254,5.0,127.2,1.6,5.0,0.0,0.0,1
C00026,26,M,DE,1,0,0,57.0,7.0,487.47,7.0,11.0,69.63857142857144,1015,5.0,369.8,6.2,4.0,0.2,0.0,1
C00027,22,M,CA,1,1,1,247.0,4.0,183.53,4.0,4.0,45.8825,267,6.0,157.0,2.3333333333333335,6.0,0.0,0.16666666666666666,1
C00028,40,M,US,1,1,0,486.0,1.0,46.08,1.0,3.0,46.08,304,3.0,134.66666666666666,2.3333333333333335,3.0,0.0,0.0,1
C00029,18,F,UK,1,0,0,97.0,4.0,117.77000000000001,4.0,4.0,29.442500000000003,1695,12.0,299.0,4.0,16.0,0.25,0.08333333333333333,1
C00030,44,M,JP,1,1,0,35.0,8.0,945.8000000000001,8.0,13.0,118.22500000000001,562,12.0,332.6666666666667,6.25,8.0,0.16666666666666666,0.08333333333333333,1
C00031,40,Prefer not to say,UK,1,1,1,307.0,1.0,97.42,1.0,2.0,97.42,212,0.0,0.0,0.0,0.0,0.0,0.0,1
C00032,30,F,US,1,0,0,8.0,8.0,643.63,8.0,11.0,80.45375,754,10.0,349.8,5.9,3.0,0.1,0.1,1
C00033,34,M,US,1,1,0,39.0,7.0,550.47,7.0,11.0,78.63857142857144,449,12.0,373.5833333333333,7.0,7.0,0.08333333333333333,0.08333333333333333,1
C00034,20,Prefer not to say,UK,0,0,0,161.0,3.0,280.58000000000004,3.0,3.0,93.52666666666669,842,6.0,301.6666666666667,5.333333333333333,6.0,0.16666666666666666,0.16666666666666666,1
C00035,44,F,US,1,0,0,201.0,2.0,76.5,2.0,2.0,38.25,1122,11.0,99.27272727272727,1.8181818181818181,5.0,0.0,0.36363636363636365,1
C00036,37,M,IN,1,0,1,164.0,3.0,436.13,3.0,7.0,145.37666666666667,785,2.0,302.5,7.0,0.0,0.0,0.0,1
C00037,38,M,JP,1,1,0,244.0,7.0,442.49,7.0,7.0,63.212857142857146,535,5.0,499.6,12.0,3.0,0.0,0.0,1
C00038,41,F,JP,0,1,1,80.0,4.0,177.57000000000002,4.0,8.0,44.392500000000005,589,6.0,338.8333333333333,5.0,7.0,0.0,0.0,1
C00039,27,F,US,1,1,0,258.0,10.0,494.49,10.0,10.0,49.449,1610,14.0,413.35714285714283,6.142857142857143,18.0,0.2857142857142857,0.07142857142857142,1
C00040,18,F,UK,1,1,0,33.0,12.0,700.65,12.0,17.0,58.387499999999996,263,10.0,420.0,9.8,4.0,0.1,0.3,1
C00041,46,F,US,1,0,1,18.0,7.0,253.53,7.0,8.0,36.21857142857143,1463,12.0,697.3333333333334,12.333333333333334,9.0,0.16666666666666666,0.08333333333333333,1
C00042,43,F,US,1,1,0,40.0,9.0,929.19,9.0,16.0,103.24333333333334,780,15.0,396.0,8.2,11.0,0.06666666666666667,0.06666666666666667,1
C00043,28,F,CA,1,1,0,118.0,5.0,351.91,5.0,8.0,70.382,1063,14.0,201.64285714285714,3.142857142857143,9.0,0.07142857142857142,0.07142857142857142,1
C00044,39,F,US,0,0,0,26.0,9.0,502.23,9.0,14.0,55.803333333333335,1746,12.0,555.5,8.25,7.0,0.08333333333333333,0.08333333333333333,1
C00045,50,F,US,1,0,0,60.0,7.0,151.06,7.0,8.0,21.580000000000002,555,12.0,578.9166666666666,11.916666666666666,11.0,0.16666666666666666,0.0,1
C00046,48,M,IN,1,0,0,17.0,3.0,189.47000000000003,3.0,5.0,63.15666666666667,709,7.0,231.28571428571428,4.0,10.0,0.14285714285714285,0.0,1
C00047,28,F,AU,0,1,0,4.0,3.0,237.67000000000002,3.0,7.0,79.22333333333334,1187,5.0,187.0,3.2,4.0,0.0,0.2,1
C00048,18,M,BR,0,1,1,158.0,17.0,1120.32,17.0,22.0,65.90117647058823,1826,11.0,490.6363636363636,9.363636363636363,7.0,0.0,0.09090909090909091,1
C00049,19,F,US,1,0,0,201.0,5.0,487.79,5.0,6.0,97.558,1296,3.0,52.0,1.0,2.0,0.0,0.3333333333333333,1
C00050,31,M,IN,1,0,0,16.0,2.0,17.96,2.0,2.0,8.98,1244,6.0,253.16666666666666,3.3333333333333335,4.0,0.16666666666666666,0.16666666666666666,1
C00051,52,F,US,0,1,1,28.0,6.0,482.38,6.0,12.0,80.39666666666666,279,4.0,194.0,3.5,6.0,0.25,0.0,1
C00052,26,M,US,1,0,0,184.0,5.0,402.89,5.0,8.0,80.578,1620,7.0,327.14285714285717,7.428571428571429,12.0,0.2857142857142857,0.0,1
C00053,27,F,UK,0,1,0,128.0,6.0,696.71,6.0,6.0,116.11833333333334,757,17.0,393.11764705882354,7.411764705882353,8.0,0.0,0.11764705882352941,1
C00054,27,M,CA,1,1,0,31.0,10.0,893.0,10.0,20.0,89.3,705,12.0,517.9166666666666,9.416666666666666,18.0,0.16666666666666666,0.0,1
C00055,28,Non-binary,UK,1,1,0,158.0,7.0,358.91,7.0,7.0,51.27285714285715,997,4.0,160.0,2.75,9.0,0.25,0.0,1
C00056,34,M,AU,1,0,0,169.0,9.0,1074.21,9.0,10.0,119.35666666666667,779,7.0,327.0,5.571428571428571,4.0,0.0,0.14285714285714285,1
C00057,19,F,US,0,1,0,286.0,4.0,165.5,4.0,5.0,41.375,724,7.0,273.14285714285717,3.5714285714285716,2.0,0.0,0.14285714285714285,1
C00058,48,F,BR,0,1,0,96.0,8.0,358.17,8.0,15.0,44.77125,1063,5.0,134.2,1.8,4.0,0.0,0.2,1
C00059,33,M,US,0,0,0,198.0,2.0,130.67,2.0,2.0,65.335,502,6.0,179.5,3.3333333333333335,4.0,0.16666666666666666,0.0,1
