customer_id,cluster,business_segment,recency_days,frequency,monetary
C00000,1,Champions,5.0,18.0,706.65
C00001,2,Potential Loyalists,8.0,5.0,244.64
C00002,4,Loyal Customers,171.0,16.0,1104.66
C00003,1,Champions,8.0,15.0,695.06
C00004,3,Dormant / Low Value,258.0,2.0,148.32000000000002
C00005,-1,No Purchase,,0.0,0.0
C00006,1,Champions,7.0,10.0,355.74
C00007,2,Potential Loyalists,49.0,4.0,630.35
C00008,4,Loyal Customers,71.0,7.0,625.72
C00009,1,Champions,17.0,11.0,402.02
C00010,1,Champions,3.0,8.0,912.62
C00011,1,Champions,30.0,12.0,652.5
C00012,3,Dormant / Low Value,454.0,2.0,127.82
C00013,1,Champions,8.0,10.0,611.91
C00014,0,At Risk,134.0,6.0,431.25
C00015,4,Loyal Customers,56.0,6.0,549.11
C00016,2,Potential Loyalists,9.0,7.0,252.93
C00017,0,At Risk,127.0,5.0,196.45
C00018,4,Loyal Customers,49.0,14.0,1342.73
C00019,0,At Risk,273.0,7.0,183.88
C00020,4,Loyal Customers,101.0,12.0,465.42
C00021,2,Potential Loyalists,8.0,8.0,516.44
C00022,0,At Risk,66.0,3.0,96.19
C00023,1,Champions,41.0,21.0,1938.59
C00024,1,Champions,31.0,7.0,1819.61
C00025,3,Dormant / Low Value,700.0,1.0,37.11
C00026,4,Loyal Customers,57.0,7.0,487.47
C00027,0,At Risk,247.0,4.0,183.53
C00028,3,Dormant / Low Value,486.0,1.0,46.08
C00029,0,At Risk,97.0,4.0,117.77
C00030,4,Loyal Customers,35.0,8.0,945.8
C00031,3,Dormant / Low Value,307.0,1.0,97.42
C00032,1,Champions,8.0,8.0,643.63
C00033,4,Loyal Customers,39.0,7.0,550.47
C00034,0,At Risk,161.0,3.0,280.58000000000004
C00035,3,Dormant / Low Value,201.0,2.0,76.5
C00036,0,At Risk,164.0,3.0,436.13
C00037,0,At Risk,244.0,7.0,442.49
C00038,0,At Risk,80.0,4.0,177.57000000000002
C00039,4,Loyal Customers,258.0,10.0,494.49
C00040,1,Champions,33.0,12.0,700.65
C00041,2,Potential Loyalists,18.0,7.0,253.53
C00042,4,Loyal Customers,40.0,9.0,929.19
C00043,0,At Risk,118.0,5.0,351.91
C00044,4,Loyal Customers,26.0,9.0,502.23
C00045,2,Potential Loyalists,60.0,7.0,151.06
C00046,2,Potential Loyalists,17.0,3.0,189.47000000000003
C00047,2,Potential Loyalists,4.0,3.0,237.67
C00048,4,Loyal Customers,158.0,17.0,1120.32
C00049,0,At Risk,201.0,5.0,487.79
C00050,3,Dormant / Low Value,16.0,2.0,17.96
C00051,2,Potential Loyalists,28.0,6.0,482.38
C00052,0,At Risk,184.0,5.0,402.89
C00053,4,Loyal Customers,128.0,6.0,696.71
C00054,1,Champions,31.0,10.0,893.0
C00055,0,At Risk,158.0,7.0,358.91
C00056,4,Loyal Customers,169.0,9.0,1074.21
C00057,0,At Risk,286.0,4.0,165.5
C00058,4,Loyal Customers,96.0,8.0,358.17
C00059,3,Dormant / Low Value,198.0,2.0,130.67
C00060,4,Loyal Customers,93.0,12.0,871.1500000000001
C00061,0,At Risk,91.0,7.0,291.08000000000004
C00062,0,At Risk,141.0,6.0,373.82
C00063,0,At Risk,226.0,4.0,130.51
C00064,2,Potential Loyalists,44.0,4.0,381.72
C00065,4,Loyal Customers,117.0,9.0,627.96
C00066,3,Dormant / Low Value,340.0,1.0,19.71
C00067,2,Potential Loyalists,35.0,9.0,328.76
C00068,3,Dormant / Low Value,340.0,1.0,21.68
C00069,2,Potential Loyalists,52.0,5.0,335.32
C00070,0,At Risk,80.0,4.0,296.95
C00071,4,Loyal Customers,88.0,10.0,452.11
C00072,1,Champions,25.0,17.0,1427.9599999999998
C00073,3,Dormant / Low Value,76.0,2.0,94.67
C00074,0,At Risk,436.0,2.0,425.14
C00075,0,At Risk,306.0,6.0,190.37
C00076,2,Potential Loyalists,18.0,4.0,221.73
C00077,2,Potential Loyalists,26.0,6.0,325.41
C00078,4,Loyal Customers,108.0,9.0,571.77
C00079,2,Potential Loyalists,33.0,5.0,728.27
C00080,4,Loyal Customers,86.0,12.0,1007.57
C00081,4,Loyal Customers,119.0,6.0,524.58
C00082,4,Loyal Customers,159.0,13.0,553.92
C00083,3,Dormant / Low Value,572.0,2.0,135.38
C00084,-1,No Purchase,,0.0,0.0
C00085,4,Loyal Customers,75.0,7.0,514.33
C00086,4,Loyal Customers,61.0,9.0,390.96
C00087,4,Loyal Customers,256.0,6.0,757.0
C00088,0,At Risk,57.0,2.0,1064.66
C00089,1,Champions,10.0,8.0,685.12
C00090,3,Dormant / Low Value,238.0,1.0,24.47
C00091,0,At Risk,238.0,6.0,293.55
C00092,4,Loyal Customers,40.0,10.0,269.54
C00093,1,Champions,5.0,9.0,602.24
C00094,0,At Risk,294.0,7.0,517.5
C00095,4,Loyal Customers,38.0,7.0,579.98
C00096,2,Potential Loyalists,28.0,5.0,368.73
C00097,3,Dormant / Low Value,183.0,2.0,62.5
C00098,0,At Risk,284.0,3.0,156.87
C00099,-1,No Purchase,,0.0,0.0
C00100,4,Loyal Customers,91.0,16.0,942.17
C00101,1,Champions,20.0,13.0,1251.48
C00102,0,At Risk,476.0,2.0,303.79
C00103,3,Dormant / Low Value,189.0,1.0,79.32
C00104,4,Loyal Customers,70.0,11.0,1339.63
C00105,2,Potential Loyalists,13.0,7.0,635.62
C00106,0,At Risk,197.0,4.0,131.24
C00107,0,At Risk,77.0,4.0,205.06
C00108,3,Dormant / Low Value,393.0,2.0,53.760000000000005
C00109,1,Champions,60.0,17.0,2538.77
C00110,0,At Risk,136.0,4.0,274.17
C00111,-1,No Purchase,,0.0,0.0
C00112,2,Potential Loyalists,15.0,7.0,291.8
C00113,4,Loyal Customers,81.0,10.0,362.15
C00114,0,At Risk,255.0,4.0,120.8
C00115,4,Loyal Customers,208.0,11.0,679.28
C00116,0,At Risk,90.0,4.0,338.06
C00117,4,Loyal Customers,52.0,15.0,696.41
C00118,1,Champions,14.0,9.0,560.43
C00119,4,Loyal Customers,189.0,9.0,762.6700000000001
C00120,2,Potential Loyalists,33.0,3.0,268.62
C00121,4,Loyal Customers,105.0,9.0,1000.7
C00122,0,At Risk,243.0,2.0,192.58
C00123,2,Potential Loyalists,10.0,8.0,476.37
C00124,2,Potential Loyalists,33.0,6.0,392.76
C00125,4,Loyal Customers,62.0,10.0,350.53
C00126,0,At Risk,113.0,6.0,236.69
C00127,3,Dormant / Low Value,166.0,2.0,78.3
C00128,3,Dormant / Low Value,339.0,1.0,25.71
C00129,3,Dormant / Low Value,594.0,1.0,133.18
C00130,3,Dormant / Low Value,640.0,2.0,70.62
C00131,1,Champions,48.0,15.0,1853.42
C00132,4,Loyal Customers,109.0,6.0,542.69
C00133,4,Loyal Customers,109.0,9.0,512.17
C00134,1,Champions,10.0,10.0,451.51
C00135,3,Dormant / Low Value,218.0,1.0,11.06
C00136,3,Dormant / Low Value,177.0,1.0,8.96
C00137,0,At Risk,127.0,6.0,405.47
C00138,1,Champions,19.0,11.0,766.3299999999999
C00139,3,Dormant / Low Value,403.0,1.0,38.84
C00140,4,Loyal Customers,85.0,9.0,928.18
C00141,2,Potential Loyalists,19.0,9.0,395.37
C00142,4,Loyal Customers,67.0,17.0,1109.78
C00143,4,Loyal Customers,170.0,7.0,494.45
C00144,4,Loyal Customers,48.0,9.0,899.48
C00145,0,At Risk,377.0,4.0,175.92
C00146,4,Loyal Customers,59.0,11.0,808.11
C00147,1,Champions,10.0,13.0,1042.04
C00148,2,Potential Loyalists,27.0,6.0,900.81
C00149,3,Dormant / Low Value,79.0,2.0,15.169999999999998
C00150,0,At Risk,323.0,3.0,287.46000000000004
C00151,4,Loyal Customers,45.0,10.0,1020.9
C00152,0,At Risk,368.0,2.0,266.13
C00153,0,At Risk,172.0,4.0,186.38
C00154,0,At Risk,76.0,5.0,213.27
C00155,1,Champions,10.0,12.0,1044.9
C00156,0,At Risk,460.0,2.0,348.04
C00157,4,Loyal Customers,89.0,8.0,488.24
C00158,4,Loyal Customers,39.0,9.0,1106.86
C00159,4,Loyal Customers,160.0,11.0,895.31
C00160,0,At Risk,87.0,2.0,169.22
C00161,1,Champions,29.0,18.0,903.66
C00162,0,At Risk,265.0,4.0,378.84
C00163,3,Dormant / Low Value,330.0,2.0,134.31
C00164,0,At Risk,100.0,5.0,244.97
C00165,3,Dormant / Low Value,600.0,2.0,40.3
C00166,1,Champions,14.0,10.0,532.18
C00167,4,Loyal Customers,146.0,9.0,1272.21
C00168,4,Loyal Customers,100.0,10.0,628.6600000000001
C00169,0,At Risk,636.0,1.0,904.75
C00170,3,Dormant / Low Value,172.0,1.0,33.25
C00171,4,Loyal Customers,57.0,12.0,883.6800000000001
C00172,3,Dormant / Low Value,199.0,2.0,132.42
C00173,4,Loyal Customers,52.0,15.0,822.97
C00174,0,At Risk,228.0,4.0,190.96
C00175,0,At Risk,92.0,4.0,218.58
C00176,0,At Risk,249.0,7.0,308.5
C00177,-1,No Purchase,,0.0,0.0
C00178,1,Champions,19.0,20.0,2536.73
C00179,4,Loyal Customers,88.0,7.0,528.76
C00180,1,Champions,23.0,17.0,1878.78
C00181,1,Champions,47.0,17.0,1811.08
C00182,2,Potential Loyalists,10.0,5.0,333.26
C00183,2,Potential Loyalists,18.0,6.0,240.11
C00184,4,Loyal Customers,225.0,9.0,398.43
C00185,4,Loyal Customers,51.0,10.0,482.11
C00186,4,Loyal Customers,62.0,11.0,1529.13
C00187,2,Potential Loyalists,46.0,4.0,527.62
C00188,2,Potential Loyalists,7.0,8.0,334.48
C00189,0,At Risk,146.0,4.0,227.81
C00190,4,Loyal Customers,327.0,14.0,2132.21
C00191,0,At Risk,60.0,3.0,347.88
C00192,3,Dormant / Low Value,540.0,1.0,6.58
C00193,4,Loyal Customers,50.0,9.0,337.86
C00194,4,Loyal Customers,178.0,6.0,677.5699999999999
C00195,-1,No Purchase,,0.0,0.0
C00196,3,Dormant / Low Value,415.0,1.0,168.25
C00197,1,Champions,1.0,21.0,2813.59
C00198,2,Potential Loyalists,31.0,5.0,299.57
C00199,1,Champions,21.0,9.0,594.24
C00200,1,Champions,12.0,15.0,767.95
C00201,3,Dormant / Low Value,235.0,1.0,67.58
C00202,2,Potential Loyalists,29.0,7.0,523.7900000000001
C00203,3,Dormant / Low Value,264.0,2.0,110.36
C00204,2,Potential Loyalists,42.0,3.0,335.45
C00205,3,Dormant / Low Value,427.0,2.0,107.93
C00206,0,At Risk,447.0,3.0,158.96
C00207,1,Champions,13.0,10.0,710.03
C00208,0,At Risk,118.0,5.0,238.96
C00209,2,Potential Loyalists,29.0,4.0,147.39
C00210,4,Loyal Customers,142.0,8.0,659.45
C00211,2,Potential Loyalists,49.0,5.0,467.19
C00212,0,At Risk,68.0,4.0,590.91
C00213,1,Champions,16.0,10.0,519.47
C00214,1,Champions,17.0,13.0,814.72
C00215,4,Loyal Customers,131.0,10.0,281.35
